month,currency,exchange_rate,description
1988-01,US Dollar,2.0253,Singapore Dollar Per US Dollar
1988-02,US Dollar,2.0173,Singapore Dollar Per US Dollar
1988-03,US Dollar,2.0133,Singapore Dollar Per US Dollar
1988-04,US Dollar,2.0037,Singapore Dollar Per US Dollar
1988-05,US Dollar,2.0098,Singapore Dollar Per US Dollar
1988-06,US Dollar,2.0269,Singapore Dollar Per US Dollar
1988-07,US Dollar,2.0462,Singapore Dollar Per US Dollar
1988-08,US Dollar,2.0411,Singapore Dollar Per US Dollar
1988-09,US Dollar,2.0398,Singapore Dollar Per US Dollar
1988-10,US Dollar,2.0214,Singapore Dollar Per US Dollar
1988-11,US Dollar,1.9606,Singapore Dollar Per US Dollar
1988-12,US Dollar,1.9437,Singapore Dollar Per US Dollar
1989-01,US Dollar,1.9401,Singapore Dollar Per US Dollar
1989-02,US Dollar,1.9273,Singapore Dollar Per US Dollar
1989-03,US Dollar,1.9406,Singapore Dollar Per US Dollar
1989-04,US Dollar,1.9491,Singapore Dollar Per US Dollar
1989-05,US Dollar,1.9569,Singapore Dollar Per US Dollar
1989-06,US Dollar,1.9575,Singapore Dollar Per US Dollar
1989-07,US Dollar,1.959,Singapore Dollar Per US Dollar
1989-08,US Dollar,1.9588,Singapore Dollar Per US Dollar
1989-09,US Dollar,1.9753,Singapore Dollar Per US Dollar
1989-10,US Dollar,1.9622,Singapore Dollar Per US Dollar
1989-11,US Dollar,1.9585,Singapore Dollar Per US Dollar
1989-12,US Dollar,1.9178,Singapore Dollar Per US Dollar
1990-01,US Dollar,1.8895,Singapore Dollar Per US Dollar
1990-02,US Dollar,1.8637,Singapore Dollar Per US Dollar
1990-03,US Dollar,1.8774,Singapore Dollar Per US Dollar
1990-04,US Dollar,1.8785,Singapore Dollar Per US Dollar
1990-05,US Dollar,1.857,Singapore Dollar Per US Dollar
1990-06,US Dollar,1.8463,Singapore Dollar Per US Dollar
1990-07,US Dollar,1.82,Singapore Dollar Per US Dollar
1990-08,US Dollar,1.791,Singapore Dollar Per US Dollar
1990-09,US Dollar,1.7654,Singapore Dollar Per US Dollar
1990-10,US Dollar,1.7267,Singapore Dollar Per US Dollar
1990-11,US Dollar,1.7084,Singapore Dollar Per US Dollar
1990-12,US Dollar,1.7265,Singapore Dollar Per US Dollar
1991-01,US Dollar,1.7454,Singapore Dollar Per US Dollar
1991-02,US Dollar,1.7176,Singapore Dollar Per US Dollar
1991-03,US Dollar,1.7565,Singapore Dollar Per US Dollar
1991-04,US Dollar,1.7693,Singapore Dollar Per US Dollar
1991-05,US Dollar,1.7679,Singapore Dollar Per US Dollar
1991-06,US Dollar,1.778,Singapore Dollar Per US Dollar
1991-07,US Dollar,1.7566,Singapore Dollar Per US Dollar
1991-08,US Dollar,1.7269,Singapore Dollar Per US Dollar
1991-09,US Dollar,1.7019,Singapore Dollar Per US Dollar
1991-10,US Dollar,1.6928,Singapore Dollar Per US Dollar
1991-11,US Dollar,1.6716,Singapore Dollar Per US Dollar
1991-12,US Dollar,1.6461,Singapore Dollar Per US Dollar
1992-01,US Dollar,1.6332,Singapore Dollar Per US Dollar
1992-02,US Dollar,1.6366,Singapore Dollar Per US Dollar
1992-03,US Dollar,1.6596,Singapore Dollar Per US Dollar
1992-04,US Dollar,1.6564,Singapore Dollar Per US Dollar
1992-05,US Dollar,1.6399,Singapore Dollar Per US Dollar
1992-06,US Dollar,1.6239,Singapore Dollar Per US Dollar
1992-07,US Dollar,1.614,Singapore Dollar Per US Dollar
1992-08,US Dollar,1.6076,Singapore Dollar Per US Dollar
1992-09,US Dollar,1.5983,Singapore Dollar Per US Dollar
1992-10,US Dollar,1.6064,Singapore Dollar Per US Dollar
1992-11,US Dollar,1.6323,Singapore Dollar Per US Dollar
1992-12,US Dollar,1.6394,Singapore Dollar Per US Dollar
1993-01,US Dollar,1.6531,Singapore Dollar Per US Dollar
1993-02,US Dollar,1.6468,Singapore Dollar Per US Dollar
1993-03,US Dollar,1.6446,Singapore Dollar Per US Dollar
1993-04,US Dollar,1.6229,Singapore Dollar Per US Dollar
1993-05,US Dollar,1.6131,Singapore Dollar Per US Dollar
1993-06,US Dollar,1.6164,Singapore Dollar Per US Dollar
1993-07,US Dollar,1.6211,Singapore Dollar Per US Dollar
1993-08,US Dollar,1.6098,Singapore Dollar Per US Dollar
1993-09,US Dollar,1.5973,Singapore Dollar Per US Dollar
1993-10,US Dollar,1.5716,Singapore Dollar Per US Dollar
